Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Csf2ra,1.47282580129954,0.699537487211074,0.205774942548006,3.39952706850046,6.750249793822e-4,0.00107313244780725
Hebp1,1.44782301841956,0.698691199656921,0.211270501999109,3.30709300657537,9.4269587237698e-4,0.00148959359885208
Mtpn,1.65775872830111,0.696384408035641,0.199195132011335,3.49599109679053,4.7230445846389e-4,7.5615067418541e-4
Sept4,1.45238632689763,0.693199242702883,0.207671426028442,3.33796158653017,8.4395415971832e-4,0.00133599415124478
Hnrnph1,1.54627472312447,0.693134726364244,0.205155941823982,3.37857495231083,7.2862567190392e-4,0.00115640802898708
Psmc2,1.53417052712003,0.693120432961995,0.205319691007849,3.37581081268771,7.3598508933069e-4,0.00116755574116586
Cyp4f18,1.53449151894762,0.692981484716283,0.206216480976969,3.36045635845021,7.7813823127308e-4,0.00123386438859219
Cdh5,1.43731606609517,0.686491931842634,0.206487182307383,3.32462249797521,8.8538328588215e-4,0.00140051537948631
Anapc11,1.7456004220622101,0.686369906610229,0.194928623629484,3.52113452519351,4.2970455928691e-4,6.8921732969049e-4
Commd8,1.53072342939796,0.686308812277302,0.20533439790725,3.34239571777599,8.3058557883608e-4,0.00131523031139825
Trappc4,1.51840656656262,0.686284540474427,0.205247315448246,3.34369557514371,8.2670399961373e-4,0.00130928242657272
BC028528,1.50578432643291,0.686036247465717,0.208015664823062,3.29800281170776,9.7375159312349e-4,0.00153727001848016
Lipa,1.46886498024519,0.685964656282114,0.205910556327231,3.33137197294531,8.641904123481e-4,0.00136782108928354
Cxcr4,1.45196058942028,0.679535811192721,0.205500066452193,3.30674253748139,9.4387600715235e-4,0.00149100703807998
Cetn3,1.54262504997449,0.679521278118706,0.205485305654849,3.30690934786397,9.433141358839e-4,0.00149034497255265
Timp3,1.43243700888323,0.679476522629489,0.208985063507653,3.251316200426,0.00114872022625294,0.00180693674281765
Mtch2,1.51821465405061,0.679459623576467,0.205282481020656,3.30987632358213,9.3337202705694e-4,0.00147508385747419
Mxra8,1.43213134052503,0.679397868105049,0.209437542476271,3.2439163488658,0.00117898365208908,0.00185426172458722
Tns1,1.43939788567379,0.679388333250511,0.206942780846324,3.28297672657171,0.00102717145461387,0.00161940048114902
Map1lc3a,1.44290245294983,0.679356723975326,0.206024141002445,3.2974617472972,9.7562963185482e-4,0.00154000201943822
Ddost,1.52468091708773,0.67932393750433,0.205706946476385,3.30238695941323,9.5865719110886e-4,0.00151389821134118
Lmna,1.44083888489375,0.679039544111912,0.206962349872093,3.28098103124347,0.00103446701058849,0.00163040996234055
Mrc1,1.43164306169161,0.677976220288275,0.213868368483077,3.17006308645367,0.00152405844178972,0.00238548277845348
Taldo1,3.17063891205001,0.677145647273071,0.19869268518746,3.40800491288447,6.5439716485086e-4,0.00104144914650046
Vcp,1.74535187814506,0.675082546967776,0.194289995495683,3.47461301466125,5.1159081018854e-4,8.1766810446546e-4
Tpst2,1.52763455339139,0.67275513942087,0.206015951508373,3.26554878151523,0.00109252185767579,0.00172035116050306
Dync1i2,1.45873761843054,0.672562814542053,0.205340473319505,3.27535435985657,0.00105529511196244,0.00166298580662458
Ltbp4,1.42795479175122,0.672401477252232,0.212360017308558,3.16632803940319,0.00154376591732935,0.0024127120025327
Tbca,2.51808732349273,0.672254156000725,0.194616803311158,3.45424518624894,5.5183542552402e-4,8.8037314218685e-4
Ppp1cb,1.53567658656368,0.665835545747093,0.205817525530581,3.23507701314853,0.00121609924558481,0.00191090850751135
Rpl34,1.4674680096589,0.665765970231213,0.20560894718453,3.23802042346775,0.00120362192771702,0.00189187186470427
Rarres2,1.42498589731232,0.665755426858664,0.212944865650195,3.12642159662258,0.00176947679609069,0.00275474765153398
Tgfbr2,1.52492428925487,0.665403888543752,0.206683430821318,3.21943508436827,0.00128443438742145,0.00201555614079061
Fgl2,1.43904825808885,0.665391714771523,0.210672607543725,3.15841590669741,0.00158629067851173,0.00247583714810322
H2afz,4.33092042689706,0.664214416975889,0.222764090340161,2.98169429355348,0.00286658086467368,0.00440622853757262
Cd47,2.9229731878034,0.660750763938857,0.18459581923024,3.57944598471499,3.4432340746288e-4,5.5397385944097e-4
Tinagl1,1.42192848649652,0.659072737599161,0.211534965353193,3.11566807170025,0.00183528728384085,0.002854648278203
Ppp1r15a,1.48484030958785,0.659022229214663,0.205749190255747,3.20303680610114,0.00135986600023895,0.00213296289700942
